instrument_id,name,isin,yfinance_ticker,etoro_ticker,ric,exchange,country_hq,currency,gics_code
EQUAXXXUS00846U1016X,Agilent Technologies Inc,US00846U1016,A,,A.N,NYS,US,USD,35203010
EQUAAFXGB00BKDRYJ47X,Airtel Africa PLC,GB00BKDRYJ47,AAF.L,,AAF.L,LSE,GB,GBp,50102010
EQUAALXGB00BTK05J60X,Anglo American PLC,GB00BTK05J60,AAL.L,,AAL.L,LSE,GB,GBp,15104020
EQUAAPLUS0378331005X,Apple Inc,US0378331005,AAPL,AAPL,AAPL.OQ,NSM,US,USD,45202030
EQUABBVUS00287Y1091X,AbbVie Inc,US00287Y1091,ABBV,,ABBV.N,NYS,US,USD,35201010
EQUABFXGB0006731235X,Associated British Foods PLC,GB0006731235,ABF.L,,ABF.L,LSE,GB,GBp,30202030
EQUABIXBE0974293251X,Anheuser-Busch Inbev SA,BE0974293251,ABI.BR,,ABI.BR,BRU,BE,EUR,30201010
EQUABNBUS0090661010X,Airbnb Inc,US0090661010,ABNB,,ABNB.OQ,NSM,US,USD,25301020
EQUABTXUS0028241000X,Abbott Laboratories,US0028241000,ABT,,ABT.N,NYS,US,USD,35101010
EQUACXXFR0000120404X,Accor SA,FR0000120404,AC.PA,,ACCP.PA,PAR,FR,EUR,25301020
EQUACGLBMG0450A1053X,Arch Capital Group Ltd,BMG0450A1053,ACGL,,ACGL.OQ,NSM,BM,USD,40301040
EQUACNXIE00B4BNMY34X,Accenture PLC,IE00B4BNMY34,ACN,,ACN.N,NYS,IE,USD,45102010
EQUADXXNL0011794037X,Koninklijke Ahold Delhaize NV,NL0011794037,AD.AS,,AD.AS,AEX,NL,EUR,30101030
EQUADBEUS00724F1012X,Adobe Inc,US00724F1012,ADBE,ADBE,ADBE.OQ,NSM,US,USD,45103010
EQUADIXUS0326541051X,Analog Devices Inc,US0326541051,ADI,,ADI.OQ,NSM,US,USD,45301020
EQUADMXUS0394831020X,Archer-Daniels-Midland Co,US0394831020,ADM,,ADM.N,NYS,US,USD,30202010
EQUADMXGB00B02J6398X,Admiral Group PLC,GB00B02J6398,ADM.L,,ADML.L,LSE,GB,GBp,40301040
EQUADPXUS0530151036X,Automatic Data Processing Inc,US0530151036,ADP,,ADP.OQ,NSM,US,USD,20202010
EQUADSXDE000A1EWWW0X,Adidas AG,DE000A1EWWW0,ADS.DE,,ADSGn.DE,GER,DE,EUR,25203010
EQUADSKUS0527691069X,Autodesk Inc,US0527691069,ADSK,,ADSK.OQ,NSM,US,USD,45103010
EQUADYENL0012969182X,Adyen NV,NL0012969182,ADYEN.AS,,ADYEN.AS,AEX,NL,EUR,40201060
EQUAEEXUS0236081024X,Ameren Corp,US0236081024,AEE,,AEE.N,NYS,US,USD,55103010
EQUAEPXUS0255371017X,American Electric Power Company Inc,US0255371017,AEP,,AEP.OQ,NSM,US,USD,55101010
EQUAESXUS00130H1059X,AES Corp,US00130H1059,AES,,AES.N,NYS,US,USD,55105010
EQUAFLXUS0010551028X,Aflac Inc,US0010551028,AFL,,AFL.N,NYS,US,USD,40301020
EQUAHTXGB0000536739X,Ashtead Group PLC,GB0000536739,AHT.L,,AHT.L,LSE,GB,GBp,20107010
EQUAIGXUS0268747849X,American International Group Inc,US0268747849,AIG,,AIG.N,NYS,US,USD,40301040
EQUAIRXNL0000235190X,Airbus SE,NL0000235190,AIR.PA,,AIR.PA,PAR,NL,EUR,20101010
EQUAIXXFR0000120073X,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,FR0000120073,AI.PA,,AIRP.PA,PAR,FR,EUR,15101040
EQUAIZXUS04621X1081X,Assurant Inc,US04621X1081,AIZ,,AIZ.N,NYS,US,USD,40301040
EQUAJGXUS3635761097X,Arthur J. Gallagher & Co.,US3635761097,AJG,,AJG.N,NYS,US,USD,40301010
EQUAKAMUS00971T1016X,Akamai Technologies Inc,US00971T1016,AKAM,,AKAM.OQ,NSM,US,USD,45102030
EQUALBXUS0126531013X,Albemarle Corp,US0126531013,ALB,,ALB.N,NYS,US,USD,15101050
EQUALGNUS0162551016X,Align Technology Inc,US0162551016,ALGN,,ALGN.OQ,NSM,US,USD,35101020
EQUALLXUS0200021014X,Allstate Corp,US0200021014,ALL,,ALL.N,NYS,US,USD,40301040
EQUALLEIE00BFRT3W74X,Allegion PLC,IE00BFRT3W74,ALLE,,ALLE.N,NYS,IE,USD,20102010
EQUALLYUS02005N1000X,Ally Financial Inc,US02005N1000,ALLY,ALLY,ALLY.K,NYQ,US,USD,40202010
EQUALNYUS02043Q1076X,Alnylam Pharmaceuticals Inc,US02043Q1076,ALNY,,ALNY.OQ,NSM,US,USD,35201010
EQUALVXDE0008404005X,Allianz SE,DE0008404005,ALV.DE,,ALVG.DE,GER,DE,EUR,40301030
EQUAMATUS0382221051X,Applied Materials Inc,US0382221051,AMAT,AMAT,AMAT.OQ,NSM,US,USD,45301010
